regal_sku,origin_sku,sale_Price
REGQJWTX194480,QJWT194480,12.91
REGQJWTX196480,QJWT196480,12.91
REGQJWTX200480,QJWT200480,12.91
REGQJWTX202480,QJWT202480,12.91
REGQJWTX204480,QJWT204480,12.91
REGQJWTX206480,QJWT206480,12.91
REGQJWTX210480,QJWT210480,12.91
REGQJWTX212480,QJWT212480,12.91
REGQJWTX214480,QJWT214480,12.91
REGQJWTX216480,QJWT216480,12.91
REGQJWTX220480,QJWT220480,12.91
REGQJWTX222480,QJWT222480,12.91
REGQJWTX224480,QJWT224480,12.91
REGQJWTX226480,QJWT226480,12.91
REGQJWTX230480,QJWT230480,12.91
REGQJWTX232480,QJWT232480,12.91
REGQJWTX234480,QJWT234480,12.91
REGQJWTX236480,QJWT236480,12.91
REGQJWTX240480,QJWT240480,12.91
REGQJWTX242480,QJWT242480,14.43
REGQJWTX244480,QJWT244480,14.43
REGQJWTX246480,QJWT246480,14.43
REGQJWTX250480,QJWT250480,14.43
REGQJWTX252480,QJWT252480,14.43
REGQJWTX254480,QJWT254480,14.43
REGQJWTX256480,QJWT256480,14.43
REGQJWTX260480,QJWT260480,14.43
REGQJWTX262480,QJWT262480,14.43
REGQJWTX264480,QJWT264480,14.43
REGQJWTX266480,QJWT266480,14.43
REGQJWTX270480,QJWT270480,14.43
REGQJWTX272480,QJWT272480,14.43
REGQJWTX274480,QJWT274480,14.43
REGQJWTX276480,QJWT276480,14.43
REGQJWTX280480,QJWT280480,14.43
REGQJWTX282480,QJWT282480,15.82
REGQJWTX284480,QJWT284480,15.82
REGQJWTX286480,QJWT286480,15.82
REGQJWTX290480,QJWT290480,15.82
REGQJWTX292480,QJWT292480,15.82
REGQJWTX294480,QJWT294480,15.82
REGQJWTX296480,QJWT296480,15.82
REGQJWTX300480,QJWT300480,15.82
REGQJWTX302480,QJWT302480,15.82
REGQJWTX304480,QJWT304480,15.82
REGQJWTX306480,QJWT306480,15.82
REGQJWTX310480,QJWT310480,15.82
REGQJWTX312480,QJWT312480,15.82
REGQJWTX314480,QJWT314480,15.82
REGQJWTX316480,QJWT316480,15.82
REGQJWTX320480,QJWT320480,15.82
REGQJWTX322480,QJWT322480,17.04
REGQJWTX324480,QJWT324480,17.04
REGQJWTX326480,QJWT326480,17.04
REGQJWTX330480,QJWT330480,17.04
REGQJWTX332480,QJWT332480,17.04
REGQJWTX334480,QJWT334480,17.04
REGQJWTX336480,QJWT336480,17.04
REGQJWTX340480,QJWT340480,17.04
REGQJWTX342480,QJWT342480,17.04
REGQJWTX344480,QJWT344480,17.04
REGQJWTX346480,QJWT346480,17.04
REGQJWTX350480,QJWT350480,17.04
REGQJWTX352480,QJWT352480,17.04
REGQJWTX354480,QJWT354480,17.04
REGQJWTX356480,QJWT356480,17.04
REGQJWTX360480,QJWT360480,17.04
REGQJWTX362480,QJWT362480,19.45
REGQJWTX364480,QJWT364480,19.45
REGQJWTX366480,QJWT366480,19.45
REGQJWTX370480,QJWT370480,19.45
REGQJWTX372480,QJWT372480,19.45
REGQJWTX374480,QJWT374480,19.45
REGQJWTX376480,QJWT376480,19.45
REGQJWTX380480,QJWT380480,19.45
REGQJWTX382480,QJWT382480,19.45
REGQJWTX384480,QJWT384480,19.45
REGQJWTX386480,QJWT386480,19.45
REGQJWTX390480,QJWT390480,19.45
REGQJWTX392480,QJWT392480,19.45
REGQJWTX394480,QJWT394480,19.45
REGQJWTX396480,QJWT396480,19.45
REGQJWTX400480,QJWT400480,19.45
REGQJWTX402480,QJWT402480,20.71
REGQJWTX404480,QJWT404480,20.71
REGQJWTX406480,QJWT406480,20.71
REGQJWTX410480,QJWT410480,20.71
REGQJWTX412480,QJWT412480,20.71
REGQJWTX414480,QJWT414480,20.71
REGQJWTX416480,QJWT416480,20.71
REGQJWTX420480,QJWT420480,20.71
REGQJWTX422480,QJWT422480,20.71
REGQJWTX424480,QJWT424480,20.71
REGQJWTX426480,QJWT426480,20.71
REGQJWTX430480,QJWT430480,20.71
REGQJWTX432480,QJWT432480,20.71
REGQJWTX434480,QJWT434480,20.71
REGQJWTX436480,QJWT436480,20.71
REGQJWTX440480,QJWT440480,20.71
REGQJWTX442480,QJWT442480,22.25
REGQJWTX444480,QJWT444480,22.25
REGQJWTX446480,QJWT446480,22.25
REGQJWTX450480,QJWT450480,22.25
REGQJWTX452480,QJWT452480,22.25
REGQJWTX454480,QJWT454480,22.25
REGQJWTX456480,QJWT456480,22.25
REGQJWTX460480,QJWT460480,22.25
REGQJWTX462480,QJWT462480,22.25
REGQJWTX464480,QJWT464480,22.25
REGQJWTX466480,QJWT466480,22.25
REGQJWTX470480,QJWT470480,22.25
REGQJWTX472480,QJWT472480,22.25
REGQJWTX474480,QJWT474480,22.25
REGQJWTX476480,QJWT476480,22.25
REGQJWTX480480,QJWT480480,22.25
REGQJWTX482480,QJWT482480,26.39
REGQJWTX484480,QJWT484480,26.39
REGQJWTX486480,QJWT486480,26.39
REGQJWTX490480,QJWT490480,26.39
REGQJWTX492480,QJWT492480,26.39
REGQJWTX494480,QJWT494480,26.39
REGQJWTX496480,QJWT496480,26.39
REGQJWTX500480,QJWT500480,26.39
REGQJWTX502480,QJWT502480,26.39
REGQJWTX504480,QJWT504480,26.39
REGQJWTX506480,QJWT506480,26.39
REGQJWTX510480,QJWT510480,26.39
REGQJWTX512480,QJWT512480,26.39
REGQJWTX514480,QJWT514480,26.39
REGQJWTX516480,QJWT516480,26.39
REGQJWTX520480,QJWT520480,26.39
REGQJWTX522480,QJWT522480,27.63
REGQJWTX524480,QJWT524480,27.63
REGQJWTX526480,QJWT526480,27.63
REGQJWTX530480,QJWT530480,27.63
REGQJWTX532480,QJWT532480,27.63
REGQJWTX534480,QJWT534480,27.63
REGQJWTX536480,QJWT536480,27.63
REGQJWTX540480,QJWT540480,27.63
REGQJWTX542480,QJWT542480,27.63
REGQJWTX544480,QJWT544480,27.63
REGQJWTX546480,QJWT546480,27.63
REGQJWTX550480,QJWT550480,27.63
REGQJWTX552480,QJWT552480,27.63
REGQJWTX554480,QJWT554480,27.63
REGQJWTX556480,QJWT556480,27.63
REGQJWTX560480,QJWT560480,27.63
REGQJWTX562480,QJWT562480,27.84
REGQJWTX564480,QJWT564480,27.84
REGQJWTX566480,QJWT566480,27.84
REGQJWTX570480,QJWT570480,27.84
REGQJWTX572480,QJWT572480,27.84
REGQJWTX574480,QJWT574480,27.84
REGQJWTX576480,QJWT576480,27.84
REGQJWTX580480,QJWT580480,27.84
REGQJWTX582480,QJWT582480,27.84
REGQJWTX584480,QJWT584480,27.84
